,name,sex,evote,dob,zip,education,citizenship,marital_status,party
0,"Donner, Brittany",Female,0,1919-01-09,2300,Vocational bachelors educations,Denmark,Widowed,Red
1,"Wilkerson, Allison",Female,0,1930-09-22,2200,Vocational Education and Training (VET),Denmark,Widowed,Red
2,"al-Sayed, Tameema",Female,1,1985-10-04,2100,Vocational Education and Training (VET),Denmark,Married/separated,Green
3,"Rowe, Nathan",Male,0,1967-05-01,2400,Vocational Education and Training (VET),Denmark,Widowed,Green
4,"Ambriz-Mendez, Andrew",Male,0,1992-04-01,2200,Masters programmes,Denmark,Never married,Green
5,"Brenner, Elias",Male,0,1989-04-11,2300,Vocational bachelors educations,Denmark,Married/separated,Red
6,"Matthew, Jyansea",Female,0,1962-02-28,2300,Masters programmes,Denmark,Married/separated,Red
7,"Elliott, Ashley",Female,0,1963-09-22,2200,Masters programmes,Denmark,Divorced,Red
8,"Inks, Shomari",Male,1,1961-12-26,2300,Vocational Education and Training (VET),Denmark,Never married,Red
9,"Nguyen, Chloe",Female,0,1934-09-10,2200,Vocational bachelors educations,Denmark,Widowed,Red
10,"Williams, Wesley",Male,0,1956-06-29,2400,Masters programmes,Denmark,Married/separated,Red
11,"Huynh, Kin-Lino",Male,1,1962-03-21,2400,Vocational Education and Training (VET),Denmark,Never married,Green
12,"Knowles, Dvaris",Male,0,1975-10-04,2300,Vocational Education and Training (VET),Denmark,Divorced,Green
13,"Bigthumb, Luisa",Female,0,1954-12-04,2400,Vocational bachelors educations,Denmark,Divorced,Red
14,"al-Ghani, Qaaida",Female,0,1943-12-02,2400,Vocational Education and Training (VET),Denmark,Widowed,Red
15,"al-Gaber, Raita",Female,1,1976-07-08,2300,Primary education,Denmark,Never married,Red
16,"el-Kaleel, Haamida",Female,0,1966-04-14,2300,Primary education,Denmark,Divorced,Green
17,"Wang, Caleb",Male,1,1996-04-23,2200,Vocational Education and Training (VET),Denmark,Never married,Green
18,"Gonzalez, Adriana",Female,0,1981-10-30,2400,Vocational Education and Training (VET),Denmark,Never married,Invalid vote
19,"Ruybal, Rito",Male,0,1958-03-30,2400,Vocational Education and Training (VET),Denmark,Married/separated,Green
20,"Hernandez, Esmeralda",Female,0,1965-12-17,2200,PhD programmes,Denmark,Married/separated,Red
21,"Running Rabbit, Joseph",Male,1,1984-07-12,2100,Masters programmes,Denmark,Married/separated,Green
22,"al-Nasir, Nawwaara",Female,0,1985-10-13,2400,Not stated,Denmark,Married/separated,Green
23,"Mcclain, Alexandra",Female,0,1983-08-10,2100,Masters programmes,Denmark,Married/separated,Red
