,name,sex,dob,zip,citizenship,marital_status,last_voted
0,"Le, Ian",Male,1998-08-30,2300,Denmark,Never married,1
1,"Wang, Caleb",Male,1996-04-23,2200,Denmark,Never married,1
2,"Carranco, Raquel",Female,1994-08-06,2200,Denmark,Never married,1
3,"Williams, Geona",Female,1995-04-22,2100,Sweden,Never married,2
4,"Gonzales, Edward",Male,2000-05-13,2100,Denmark,Never married,1
5,"Friesen, Mark",Male,1999-03-12,2100,Denmark,Never married,1
6,"Landeros, Janae",Female,1999-05-08,2200,Denmark,Never married,1
7,"Garrett, Alejandro",Male,2000-04-22,2300,Denmark,Never married,2
8,"Smeal, Cuauhtemoc",Male,1998-10-03,2100,Denmark,Never married,2
9,"Hernandez, Alfonso",Male,1998-11-14,2400,Denmark,Never married,2
10,"Rosen, Perla",Female,1997-12-26,2300,Denmark,Never married,1
11,"Mckeon, Kelsey",Female,1997-12-03,2100,Denmark,Never married,2
12,"Klocker, Derrick",Male,1994-07-15,2100,Denmark,Never married,1
13,"Session, Christian",Male,1995-06-16,2200,Denmark,Never married,1
14,"Ronnebaum, Kelia",Female,1994-09-20,2100,Denmark,Never married,2
15,"Shin, Zamir",Male,1998-11-06,2300,Denmark,Never married,2
16,"Watkins, Khalia",Female,1994-08-29,2200,Denmark,Divorced,2
17,"Ho, Brandon",Male,1995-06-17,2100,Denmark,Never married,1
18,"Lucero, Daniel",Male,1996-06-17,2200,Denmark,Never married,1
19,"el-Noori, Amniyya",Female,1996-02-24,2300,Denmark,Never married,1
20,"Holt, Bryan",Male,1996-10-31,2300,Denmark,Never married,1
21,"Holmes, Shiloh",Male,1995-09-05,2100,Denmark,Never married,2
22,"Badback, Kameron",Male,1994-12-19,2300,Denmark,Never married,2
23,"Currin, Wyatt",Male,2001-01-02,2300,Denmark,Never married,2
24,"Flores, Ian",Male,1995-02-21,2100,Denmark,Never married,2
25,"Abeyta, Ivan",Male,1996-05-16,2300,Denmark,Never married,2
26,"el-Sadri, Awda",Female,1994-07-21,2100,Denmark,Never married,1
27,"Lara, Filiberto",Male,1995-09-18,2100,Denmark,Never married,1
28,"Zhang, Matthew",Male,1999-03-06,2300,Denmark,Never married,2
29,"Aweida, Kaili",Female,1996-02-02,2200,Denmark,Never married,2
30,"Marin, Marco",Male,2000-02-12,2300,Denmark,Never married,2
31,"Lor, Julius",Male,1994-10-15,2100,Denmark,Never married,1
32,"al-Ayoub, Kifaaya",Female,2000-10-08,2100,Denmark,Never married,1
33,"Heflin, Kendall",Female,1994-06-16,2100,Denmark,Never married,1
34,"Romero, Bryan",Male,1996-02-12,2400,Denmark,Never married,1
35,"Olarte, Yeng",Male,2000-03-27,2100,Denmark,Never married,1
36,"Reweti, Katie",Female,1999-03-05,2400,Denmark,Never married,1
37,"Baker, R'Mond",Male,1998-11-01,2200,Denmark,Never married,1
38,"Kolar, Alesha",Female,1998-12-11,2100,Denmark,Never married,1
39,"Williams, Isaiah",Male,1995-05-08,2300,Denmark,Never married,1
40,"Wellington, Tory",Female,1996-03-02,2300,Denmark,Never married,1
41,"Gallegos-Aguirre, Alfredo",Male,1999-01-08,2100,Germany,Never married,2
42,"Watson, Maya",Female,1997-02-18,2200,Denmark,Never married,1
43,"Gabriel, August",Male,1995-04-29,2200,Denmark,Never married,2
44,"al-Mansouri, Asmar",Male,2000-09-16,2100,Denmark,Never married,1
45,"Lott, Michael",Male,1995-07-01,2200,Denmark,Never married,2
46,"Munoz, Alejandro",Male,2000-03-03,2100,Netherlands,Never married,1
47,"Begay, William",Male,1999-11-29,2300,Denmark,Never married,1
48,"Ordanza, Bo",Male,2000-07-14,2200,Denmark,Never married,2
49,"Wonnell, Parker",Male,1999-04-07,2100,Denmark,Never married,1
50,"el-Ghattas, Qamraaa",Female,1996-06-09,2200,Denmark,Never married,2
51,"al-Amir, Aaida",Female,1985-04-07,2100,Denmark,Never married,1
52,"el-Yassin, Yaasmeen",Female,1990-08-19,2100,Denmark,Married/separated,2
53,"Baca, Jorge",Male,1990-02-28,2300,Denmark,Never married,2
54,"al-Sayed, Tameema",Female,1985-10-04,2100,Denmark,Married/separated,1
55,"al-Ramadan, Abdul Noor",Male,1986-09-09,2100,Denmark,Never married,1
56,"Wright, Selena",Female,1984-07-13,2200,Denmark,Married/separated,1
57,"Kasten, Dylan",Male,1984-12-22,2400,Denmark,Never married,1
58,"Hill, Tiffany",Female,1991-08-21,2100,Denmark,Never married,2
59,"Wright, Antonio",Male,1986-08-25,2200,Denmark,Married/separated,1
60,"Singal, Jonel",Male,1987-04-08,2300,Denmark,Never married,1
61,"Makaiwi, Angelique",Female,1991-03-23,2200,Denmark,Married/separated,2
62,"Hasan, Tahjneke",Male,1985-06-17,2100,Denmark,Married/separated,1
63,"Granados, Aaran",Male,1986-01-16,2200,Denmark,Never married,1
64,"Jaramillo, Amber",Female,1987-07-22,2300,Denmark,Divorced,1
65,"Bedford, Jeffrey",Male,1985-10-22,2200,Latvia,Never married,1
66,"Mace, Louis",Male,1991-07-06,2300,Denmark,Married/separated,1
67,"Baca, Kateri",Female,1985-02-01,2300,Denmark,Married/separated,1
68,"Hicks, Quyncc",Male,1986-04-17,2400,Denmark,Never married,2
69,"Pham, Tyler",Male,1991-06-25,2100,Denmark,Married/separated,1
70,"Jackson, Vileasha",Female,1991-10-07,2300,Denmark,Never married,1
71,"Dvornak, Alexander",Male,1986-03-21,2200,Denmark,Married/separated,1
72,"Moore, Evangelia",Female,1993-02-19,2400,Denmark,Never married,1
73,"al-Dajani, Suhaa",Female,1991-10-26,2300,Greece,Never married,1
74,"Running Rabbit, Joseph",Male,1984-07-12,2100,Denmark,Married/separated,1
75,"Nelson, Shawn",Male,1985-08-08,2300,Denmark,Never married,1
76,"el-Noorani, Faalih",Male,1989-03-08,2100,Denmark,Never married,1
77,"Nguyen, Priya",Female,1984-04-08,2300,Denmark,Married/separated,1
78,"Duong, Heassam",Male,1991-08-04,2200,Afghanistan,Married/separated,1
79,"Oberly, Robert",Male,1987-02-02,2100,Philippines,Never married,1
80,"Ferreri, Ethan",Male,1987-06-02,2200,Denmark,Married/separated,1
81,"el-Suleiman, Salmaan",Male,1992-11-14,2400,Denmark,Never married,2
82,"Butler, Tamerik",Male,1987-02-23,2400,Greece,Married/separated,2
83,"Anderson, Hunter",Male,1987-11-28,2400,Denmark,Never married,1
